billId,itemId,name,qty,rate,gstPercent,taxableAmt,cgst,sgst,igst,lineTotal
B001,I009,Bluetooth Speaker,1,1499.00,18.0,1499.00,0.00,0.00,269.82,1768.82
B001,I005,LED Bulb 9W,3,90.00,12.0,270.00,0.00,0.00,32.40,302.40
B001,I016,Whiteboard Marker (Pack of 4),5,80.00,12.0,400.00,0.00,0.00,48.00,448.00
B001,I002,USB-C Cable 1m,1,199.00,18.0,199.00,0.00,0.00,35.82,234.82
B002,I005,LED Bulb 9W,4,90.00,12.0,360.00,21.60,21.60,0.00,403.20
B003,I012,Face Mask (Box of 50),5,199.00,5.0,995.00,0.00,0.00,49.75,1044.75
B003,I007,Basmati Rice 5kg,1,550.00,5.0,550.00,0.00,0.00,27.50,577.50
B004,I015,Desk Lamp,1,650.00,18.0,650.00,0.00,0.00,117.00,767.00
B004,I005,LED Bulb 9W,2,90.00,12.0,180.00,0.00,0.00,21.60,201.60
B005,I011,Printer Paper A4 (Ream),5,280.00,12.0,1400.00,0.00,0.00,168.00,1568.00
B006,I005,LED Bulb 9W,4,90.00,12.0,360.00,0.00,0.00,43.20,403.20
B006,I004,Ballpoint Pen (Pack of 10),5,120.00,12.0,600.00,0.00,0.00,72.00,672.00
B006,I019,Wireless Keyboard,5,899.00,18.0,4495.00,0.00,0.00,809.10,5304.10
B006,I002,USB-C Cable 1m,5,199.00,18.0,995.00,0.00,0.00,179.10,1174.10
B007,I005,LED Bulb 9W,5,90.00,12.0,450.00,0.00,0.00,54.00,504.00
B007,I002,USB-C Cable 1m,1,199.00,18.0,199.00,0.00,0.00,35.82,234.82
B007,I004,Ballpoint Pen (Pack of 10),1,120.00,12.0,120.00,0.00,0.00,14.40,134.40
B007,I010,Office Chair,3,4999.00,18.0,14997.00,0.00,0.00,2699.46,17696.46
B008,I002,USB-C Cable 1m,4,199.00,18.0,796.00,0.00,0.00,143.28,939.28
B008,I008,Steel Water Bottle 1L,2,299.00,18.0,598.00,0.00,0.00,107.64,705.64
B008,I010,Office Chair,4,4999.00,18.0,19996.00,0.00,0.00,3599.28,23595.28
B009,I016,Whiteboard Marker (Pack of 4),4,80.00,12.0,320.00,0.00,0.00,38.40,358.40
B009,I015,Desk Lamp,2,650.00,18.0,1300.00,0.00,0.00,234.00,1534.00
B010,I010,Office Chair,3,4999.00,18.0,14997.00,1349.73,1349.73,0.00,17696.46
B010,I017,External Hard Disk 1TB,1,3499.00,18.0,3499.00,314.91,314.91,0.00,4128.82
B011,I019,Wireless Keyboard,5,899.00,18.0,4495.00,0.00,0.00,809.10,5304.10
B011,I012,Face Mask (Box of 50),3,199.00,5.0,597.00,0.00,0.00,29.85,626.85
B011,I015,Desk Lamp,1,650.00,18.0,650.00,0.00,0.00,117.00,767.00
B012,I003,Notebook A5 Ruled,3,60.00,12.0,180.00,0.00,0.00,21.60,201.60
B012,I006,Cotton T-Shirt,4,349.00,5.0,1396.00,0.00,0.00,69.80,1465.80
B012,I001,Wireless Mouse,1,499.00,18.0,499.00,0.00,0.00,89.82,588.82
B013,I002,USB-C Cable 1m,4,199.00,18.0,796.00,0.00,0.00,143.28,939.28
B013,I008,Steel Water Bottle 1L,2,299.00,18.0,598.00,0.00,0.00,107.64,705.64
B013,I001,Wireless Mouse,4,499.00,18.0,1996.00,0.00,0.00,359.28,2355.28
B014,I009,Bluetooth Speaker,4,1499.00,18.0,5996.00,0.00,0.00,1079.28,7075.28
B014,I012,Face Mask (Box of 50),2,199.00,5.0,398.00,0.00,0.00,19.90,417.90
B014,I007,Basmati Rice 5kg,2,550.00,5.0,1100.00,0.00,0.00,55.00,1155.00
B014,I010,Office Chair,5,4999.00,18.0,24995.00,0.00,0.00,4499.10,29494.10
B015,I002,USB-C Cable 1m,5,199.00,18.0,995.00,0.00,0.00,179.10,1174.10
B016,I012,Face Mask (Box of 50),4,199.00,5.0,796.00,0.00,0.00,39.80,835.80
B016,I010,Office Chair,2,4999.00,18.0,9998.00,0.00,0.00,1799.64,11797.64
B016,I005,LED Bulb 9W,2,90.00,12.0,180.00,0.00,0.00,21.60,201.60
B016,I020,File Folder (Pack of 5),4,150.00,12.0,600.00,0.00,0.00,72.00,672.00
B017,I015,Desk Lamp,3,650.00,18.0,1950.00,0.00,0.00,351.00,2301.00
B018,I018,Ceramic Coffee Mug,4,149.00,12.0,596.00,0.00,0.00,71.52,667.52
B018,I017,External Hard Disk 1TB,4,3499.00,18.0,13996.00,0.00,0.00,2519.28,16515.28
B019,I009,Bluetooth Speaker,5,1499.00,18.0,7495.00,0.00,0.00,1349.10,8844.10
B019,I006,Cotton T-Shirt,2,349.00,5.0,698.00,0.00,0.00,34.90,732.90
B020,I018,Ceramic Coffee Mug,1,149.00,12.0,149.00,0.00,0.00,17.88,166.88
B020,I019,Wireless Keyboard,2,899.00,18.0,1798.00,0.00,0.00,323.64,2121.64
B021,I020,File Folder (Pack of 5),2,150.00,12.0,300.00,0.00,0.00,36.00,336.00
B022,I006,Cotton T-Shirt,2,349.00,5.0,698.00,0.00,0.00,34.90,732.90
B022,I005,LED Bulb 9W,4,90.00,12.0,360.00,0.00,0.00,43.20,403.20
B022,I020,File Folder (Pack of 5),4,150.00,12.0,600.00,0.00,0.00,72.00,672.00
B023,I019,Wireless Keyboard,3,899.00,18.0,2697.00,0.00,0.00,485.46,3182.46
B024,I005,LED Bulb 9W,3,90.00,12.0,270.00,0.00,0.00,32.40,302.40
B025,I014,Laptop Bag,2,899.00,18.0,1798.00,161.82,161.82,0.00,2121.64
B025,I008,Steel Water Bottle 1L,3,299.00,18.0,897.00,80.73,80.73,0.00,1058.46
B026,I011,Printer Paper A4 (Ream),4,280.00,12.0,1120.00,0.00,0.00,134.40,1254.40
B026,I007,Basmati Rice 5kg,5,550.00,5.0,2750.00,0.00,0.00,137.50,2887.50
B026,I008,Steel Water Bottle 1L,5,299.00,18.0,1495.00,0.00,0.00,269.10,1764.10
B027,I014,Laptop Bag,4,899.00,18.0,3596.00,323.64,323.64,0.00,4243.28
